UniProtKB,Symbol,Virus_mimicry,GTEx_medium_TPM_in_lung,Distinct_SLiMs,Biological_process,Molecular_function
Q9UQ80,PA2G4,Nucleocapsid,83.72,16,"negative regulation of apoptotic process [GO:0043066]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of cell differentiation [GO:0045597]; regulation of translation [GO:0006417]; rRNA processing [GO:0006364]",nucleic acid binding [GO:0003676]; RNA binding [GO:0003723]; transcription corepressor activity [GO:0003714]; ubiquitin protein ligase binding [GO:0031625]
O96028,NSD2,Nucleocapsid,9.77,16,"atrial septum primum morphogenesis [GO:0003289]; atrial septum secundum morphogenesis [GO:0003290]; bone development [GO:0060348]; double-strand break repair [GO:0006302]; membranous septum morphogenesis [GO:0003149]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of isotype switching to IgA isotypes [GO:0048298]; regulation of double-strand break repair via nonhomologous end joining [GO:2001032]; regulation of establishment of protein localization [GO:0070201]; regulation of transcription, DNA-templated [GO:0006355]",chromatin binding [GO:0003682]; histone-lysine N-methyltransferase activity [GO:0018024]; histone methyltransferase activity (H3-K36 specific) [GO:0046975]; histone methyltransferase activity (H4-K20 specific) [GO:0042799]; metal ion binding [GO:0046872]; sequence-specific DNA binding [GO:0043565]
O15066,KIF3B,Nucleocapsid,24.34,16,anterograde axonal transport [GO:0008089]; anterograde dendritic transport of neurotransmitter receptor complex [GO:0098971]; cilium assembly [GO:0060271]; determination of left/right symmetry [GO:0007368]; intraciliary transport [GO:0042073]; microtubule-based movement [GO:0007018]; mitotic centrosome separation [GO:0007100]; mitotic spindle assembly [GO:0090307]; mitotic spindle organization [GO:0007052]; opsin transport [GO:0036372]; plus-end-directed vesicle transport along microtubule [GO:0072383]; positive regulation of cytokinesis [GO:0032467]; vesicle-mediated transport [GO:0016192],"ATP binding [GO:0005524]; ATP-dependent microtubule motor activity, plus-end-directed [GO:0008574]; intraciliary transport particle B binding [GO:0120170]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]; small GTPase binding [GO:0031267]"
Q9UPE1,SRPK3,Nucleocapsid,1.71,16,cell differentiation [GO:0030154]; intracellular signal transduction [GO:0035556]; muscle tissue development [GO:0060537]; regulation of mRNA processing [GO:0050684]; skeletal muscle tissue development [GO:0007519]; spliceosomal complex assembly [GO:0000245],ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]
Q86SQ0,PHLDB2,Nucleocapsid,20.71,16,"establishment of protein localization [GO:0045184]; microtubule cytoskeleton organization [GO:0000226]; negative regulation of focal adhesion assembly [GO:0051895]; negative regulation of stress fiber assembly [GO:0051497]; negative regulation of wound healing, spreading of epidermal cells [GO:1903690]; positive regulation of basement membrane assembly involved in embryonic body morphogenesis [GO:1904261]; regulation of epithelial to mesenchymal transition [GO:0010717]; regulation of gastrulation [GO:0010470]; regulation of microtubule cytoskeleton organization [GO:0070507]",cadherin binding [GO:0045296]
P51608,MECP2,Nucleocapsid,19.37,16,"adult locomotory behavior [GO:0008344]; behavioral fear response [GO:0001662]; cardiolipin metabolic process [GO:0032048]; cellular biogenic amine metabolic process [GO:0006576]; cerebellum development [GO:0021549]; chromatin silencing [GO:0006342]; dendrite development [GO:0016358]; excitatory postsynaptic potential [GO:0060079]; glucocorticoid metabolic process [GO:0008211]; glutamine metabolic process [GO:0006541]; histone acetylation [GO:0016573]; histone methylation [GO:0016571]; inositol metabolic process [GO:0006020]; long-term memory [GO:0007616]; long-term synaptic potentiation [GO:0060291]; mitotic spindle organization [GO:0007052]; negative regulation of angiogenesis [GO:0016525]; negative regulation of blood vessel endothelial cell migration [GO:0043537]; negative regulation of gene expression [GO:0010629]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of smooth muscle cell differentiation [GO:0051151]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription from RNA polymerase II promoter involved in smooth muscle cell differentiation [GO:2000820]; nervous system process involved in regulation of systemic arterial blood pressure [GO:0001976]; neuron maturation [GO:0042551]; phosphatidylcholine metabolic process [GO:0046470]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of DNA methylation [GO:1905643]; positive regulation of G2/M transition of mitotic cell cycle [GO:0010971]; positive regulation of histone H3-K9 trimethylation [GO:1900114]; positive regulation of microtubule nucleation [GO:0090063]; positive regulation of transcription by RNA polymerase II [GO:0045944]; post-embryonic development [GO:0009791]; proprioception [GO:0019230]; protein localization [GO:0008104]; regulation of gene expression by genetic imprinting [GO:0006349]; regulation of respiratory gaseous exchange by nervous system process [GO:0002087]; respiratory gaseous exchange by respiratory system [GO:0007585]; response to hypoxia [GO:0001666]; response to other organism [GO:0051707]; sensory perception of pain [GO:0019233]; social behavior [GO:0035176]; startle response [GO:0001964]; synapse assembly [GO:0007416]; ventricular system development [GO:0021591]; visual learning [GO:0008542]",chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; double-stranded methylated DNA binding [GO:0010385]; methyl-CpG binding [GO:0008327]; mRNA binding [GO:0003729]; promoter-specific chromatin binding [GO:1990841]; protein domain specific binding [GO:0019904]; protein N-terminus binding [GO:0047485]; RNA binding [GO:0003723]; siRNA binding [GO:0035197]; transcription corepressor activity [GO:0003714]
Q99743,NPAS2,Nucleocapsid,11.83,16,"cellular response to DNA damage stimulus [GO:0006974]; central nervous system development [GO:0007417]; circadian regulation of gene expression [GO:0032922]; negative regulation of cell death [GO:0060548]; positive regulation of behavioral fear response [GO:2000987]; positive regulation of DNA repair [GO:0045739]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of response to DNA damage stimulus [GO:2001020]; regulation of transcription by RNA polymerase II [GO:0006357]; response to drug [GO:0042493]; response to redox state [GO:0051775]","DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; Hsp90 protein binding [GO:0051879]; metal ion binding [GO:0046872]; protein dimerization activity [GO:0046983]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]"
Q9BX66,SORBS1,Nucleocapsid,36.5,15,cell-matrix adhesion [GO:0007160]; cellular response to insulin stimulus [GO:0032869]; focal adhesion assembly [GO:0048041]; insulin receptor signaling pathway [GO:0008286]; positive regulation of glucose import [GO:0046326]; positive regulation of glycogen biosynthetic process [GO:0045725]; positive regulation of insulin receptor signaling pathway [GO:0046628]; positive regulation of lipid biosynthetic process [GO:0046889]; positive regulation of protein localization to plasma membrane [GO:1903078]; stress fiber assembly [GO:0043149],actin binding [GO:0003779]; cytoskeletal protein binding [GO:0008092]; insulin receptor binding [GO:0005158]; signaling receptor complex adaptor activity [GO:0030159]
Q12929,EPS8,Nucleocapsid,34.53,15,actin crosslink formation [GO:0051764]; actin cytoskeleton reorganization [GO:0031532]; actin filament bundle assembly [GO:0051017]; actin polymerization-dependent cell motility [GO:0070358]; adult locomotory behavior [GO:0008344]; barbed-end actin filament capping [GO:0051016]; behavioral response to ethanol [GO:0048149]; cellular response to leukemia inhibitory factor [GO:1990830]; dendritic cell migration [GO:0036336]; exit from mitosis [GO:0010458]; positive regulation of ruffle assembly [GO:1900029]; Rac protein signal transduction [GO:0016601]; regulation of actin filament length [GO:0030832]; regulation of cell shape [GO:0008360]; regulation of postsynaptic membrane neurotransmitter receptor levels [GO:0099072]; regulation of Rho protein signal transduction [GO:0035023]; Rho protein signal transduction [GO:0007266],actin binding [GO:0003779]; signaling adaptor activity [GO:0035591]; small GTPase binding [GO:0031267]
P08238,HSP90AB1,Nucleocapsid,857.26,15,axon extension [GO:0048675]; cellular response to heat [GO:0034605]; cellular response to interleukin-4 [GO:0071353]; cellular response to organic cyclic compound [GO:0071407]; central nervous system neuron axonogenesis [GO:0021955]; chaperone-mediated protein complex assembly [GO:0051131]; establishment of cell polarity [GO:0030010]; negative regulation of complement-dependent cytotoxicity [GO:1903660]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of proteasomal protein catabolic process [GO:1901799]; negative regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032435]; negative regulation of protein metabolic process [GO:0051248]; negative regulation of transforming growth factor beta activation [GO:1901389]; placenta development [GO:0001890]; positive regulation of cell differentiation [GO:0045597]; positive regulation of cell size [GO:0045793]; positive regulation of cyclin-dependent protein kinase activity [GO:1904031]; positive regulation of nitric oxide biosynthetic process [GO:0045429]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of phosphoprotein phosphatase activity [GO:0032516]; positive regulation of protein binding [GO:0032092]; positive regulation of protein import into nucleus [GO:0042307]; positive regulation of protein kinase B signaling [GO:0051897]; positive regulation of protein localization to cell surface [GO:2000010]; positive regulation of protein serine/threonine kinase activity [GO:0071902]; positive regulation of tau-protein kinase activity [GO:1902949]; positive regulation of telomerase activity [GO:0051973]; positive regulation of transforming growth factor beta receptor signaling pathway [GO:0030511]; protein folding [GO:0006457]; protein stabilization [GO:0050821]; regulation of cell cycle [GO:0051726]; regulation of cellular protein localization [GO:1903827]; regulation of interferon-gamma-mediated signaling pathway [GO:0060334]; regulation of protein ubiquitination [GO:0031396]; regulation of type I interferon-mediated signaling pathway [GO:0060338]; response to cocaine [GO:0042220]; response to drug [GO:0042493]; response to salt stress [GO:0009651]; response to unfolded protein [GO:0006986]; supramolecular fiber organization [GO:0097435]; telomerase holoenzyme complex assembly [GO:1905323]; telomere maintenance via telomerase [GO:0007004]; virion attachment to host cell [GO:0019062],ATP binding [GO:0005524]; ATP-dependent protein binding [GO:0043008]; cadherin binding [GO:0045296]; CTP binding [GO:0002135]; dATP binding [GO:0032564]; disordered domain specific binding [GO:0097718]; DNA polymerase binding [GO:0070182]; double-stranded RNA binding [GO:0003725]; GTP binding [GO:0005525]; heat shock protein binding [GO:0031072]; histone deacetylase binding [GO:0042826]; histone methyltransferase binding [GO:1990226]; identical protein binding [GO:0042802]; kinase binding [GO:0019900]; MHC class II protein complex binding [GO:0023026]; nitric-oxide synthase regulator activity [GO:0030235]; peptide binding [GO:0042277]; protein dimerization activity [GO:0046983]; protein folding chaperone [GO:0044183]; protein homodimerization activity [GO:0042803]; protein kinase binding [GO:0019901]; protein kinase regulator activity [GO:0019887]; RNA binding [GO:0003723]; sulfonylurea receptor binding [GO:0017098]; tau protein binding [GO:0048156]; TPR domain binding [GO:0030911]; transmembrane transporter binding [GO:0044325]; ubiquitin protein ligase binding [GO:0031625]; unfolded protein binding [GO:0051082]; UTP binding [GO:0002134]
P09651,HNRNPA1,Nucleocapsid,331.34,15,"cellular response to glucose starvation [GO:0042149]; cellular response to sodium arsenite [GO:1903936]; import into nucleus [GO:0051170]; mRNA splicing, via spliceosome [GO:0000398]; mRNA transport [GO:0051028]; negative regulation of telomere maintenance via telomerase [GO:0032211]; nuclear export [GO:0051168]; positive regulation of telomere maintenance via telomerase [GO:0032212]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; RNA export from nucleus [GO:0006405]",G-rich strand telomeric DNA binding [GO:0098505]; identical protein binding [GO:0042802]; miRNA binding [GO:0035198]; pre-mRNA binding [GO:0036002]; protein domain specific binding [GO:0019904]; RNA binding [GO:0003723]; single-stranded DNA binding [GO:0003697]; single-stranded RNA binding [GO:0003727]; telomeric repeat-containing RNA binding [GO:0061752]
O43865,AHCYL1,Nucleocapsid,74.29,15,angiotensin-activated signaling pathway [GO:0038166]; apoptotic process [GO:0006915]; epithelial fluid transport [GO:0042045]; mitochondrion-endoplasmic reticulum membrane tethering [GO:1990456]; mRNA polyadenylation [GO:0006378]; one-carbon metabolic process [GO:0006730]; positive regulation of sodium ion transport [GO:0010765]; protein export from nucleus [GO:0006611]; regulation of anion transport [GO:0044070]; regulation of ion transmembrane transporter activity [GO:0032412]; regulation of mRNA 3'-end processing [GO:0031440]; response to calcium ion [GO:0051592]; S-adenosylmethionine cycle [GO:0033353],identical protein binding [GO:0042802]; RNA binding [GO:0003723]
O75925,PIAS1,Nucleocapsid,20.58,15,"fat cell differentiation [GO:0045444]; G1/S transition of mitotic cell cycle [GO:0000082]; negative regulation of apoptotic process [GO:0043066]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of protein sumoylation [GO:0033235]; positive regulation of smooth muscle cell differentiation [GO:0051152]; positive regulation of transcription, DNA-templated [GO:0045893]; protein-DNA complex assembly [GO:0065004]; protein sumoylation [GO:0016925]; receptor signaling pathway via JAK-STAT [GO:0007259]; regulation of cell population proliferation [GO:0042127]; regulation of transcription by RNA polymerase II [GO:0006357]; spermatogenesis [GO:0007283]; visual learning [GO:0008542]",DNA binding [GO:0003677]; enzyme binding [GO:0019899]; protein C-terminus binding [GO:0008022]; protein domain specific binding [GO:0019904]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; SUMO ligase activity [GO:0061665]; SUMO transferase activity [GO:0019789]; transcription coregulator activity [GO:0003712]; transcription corepressor activity [GO:0003714]; ubiquitin protein ligase binding [GO:0031625]; zinc ion binding [GO:0008270]
Q9UPZ3,HPS5,Nucleocapsid,13.36,15,blood coagulation [GO:0007596]; organelle organization [GO:0006996]; pigmentation [GO:0043473],N/A
Q969R2,OSBP2,Nucleocapsid,1.77,15,spermatid development [GO:0007286],cholesterol binding [GO:0015485]; sterol binding [GO:0032934]; sterol transporter activity [GO:0015248]
O75509,TNFRSF21,Nucleocapsid,34.49,15,adaptive immune response [GO:0002250]; apoptotic process [GO:0006915]; axonal fasciculation [GO:0007413]; B cell apoptotic process [GO:0001783]; cellular response to tumor necrosis factor [GO:0071356]; humoral immune response [GO:0006959]; myelination [GO:0042552]; negative regulation of B cell proliferation [GO:0030889]; negative regulation of interleukin-10 production [GO:0032693]; negative regulation of interleukin-13 production [GO:0032696]; negative regulation of interleukin-5 production [GO:0032714]; negative regulation of myelination [GO:0031642]; negative regulation of T cell proliferation [GO:0042130]; neuron apoptotic process [GO:0051402]; oligodendrocyte apoptotic process [GO:0097252]; regulation of oligodendrocyte differentiation [GO:0048713]; T cell receptor signaling pathway [GO:0050852],N/A
Q8N720,ZNF655,Nucleocapsid,46.23,15,negative regulation of G1/S transition of mitotic cell cycle [GO:2000134]; regulation of transcription by RNA polymerase II [GO:0006357],"DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]"
Q68DK2,ZFYVE26,Nucleocapsid,13.05,14,double-strand break repair via homologous recombination [GO:0000724]; mitotic cytokinesis [GO:0000281]; regulation of cytokinesis [GO:0032465],metal ion binding [GO:0046872]; phosphatidylinositol-3-phosphate binding [GO:0032266]
P08670,VIM,Nucleocapsid,700.47,14,astrocyte development [GO:0014002]; Bergmann glial cell differentiation [GO:0060020]; cellular response to interferon-gamma [GO:0071346]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to muramyl dipeptide [GO:0071225]; intermediate filament organization [GO:0045109]; lens fiber cell development [GO:0070307]; negative regulation of neuron projection development [GO:0010977]; positive regulation of collagen biosynthetic process [GO:0032967]; positive regulation of translation [GO:0045727]; regulation of mRNA stability [GO:0043488]; SMAD protein signal transduction [GO:0060395],double-stranded RNA binding [GO:0003725]; identical protein binding [GO:0042802]; keratin filament binding [GO:1990254]; protein domain specific binding [GO:0019904]; scaffold protein binding [GO:0097110]; structural constituent of cytoskeleton [GO:0005200]; structural constituent of eye lens [GO:0005212]
O60239,SH3BP5,Nucleocapsid,36.95,14,intracellular signal transduction [GO:0035556]; negative regulation of protein tyrosine kinase activity [GO:0061099]; signal transduction [GO:0007165],guanyl-nucleotide exchange factor activity [GO:0005085]; protein kinase inhibitor activity [GO:0004860]; SH3 domain binding [GO:0017124]
Q9H1A4,ANAPC1,Nucleocapsid,5.15,14,anaphase-promoting complex-dependent catabolic process [GO:0031145]; cell division [GO:0051301]; metaphase/anaphase transition of mitotic cell cycle [GO:0007091]; protein K11-linked ubiquitination [GO:0070979],molecular adaptor activity [GO:0060090]
Q12906,ILF3,Nucleocapsid,89.77,14,"defense response to virus [GO:0051607]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of translation [GO:0017148]; negative regulation of viral genome replication [GO:0045071]; positive regulation of transcription, DNA-templated [GO:0045893]; protein phosphorylation [GO:0006468]",DNA binding [GO:0003677]; double-stranded RNA binding [GO:0003725]; mRNA 3'-UTR AU-rich region binding [GO:0035925]; RNA binding [GO:0003723]; single-stranded RNA binding [GO:0003727]
Q8TEQ6,GEMIN5,Nucleocapsid,9.78,14,"mRNA splicing, via spliceosome [GO:0000398]; protein-containing complex assembly [GO:0065003]; regulation of translation [GO:0006417]; spliceosomal snRNP assembly [GO:0000387]; translation [GO:0006412]",mRNA 3'-UTR binding [GO:0003730]; ribosome binding [GO:0043022]; RNA 7-methylguanosine cap binding [GO:0000340]; RNA binding [GO:0003723]; snRNA binding [GO:0017069]; U1 snRNA binding [GO:0030619]; U4atac snRNA binding [GO:0030622]; U4 snRNA binding [GO:0030621]
Q14678,KANK1,Nucleocapsid,11.83,14,actin cytoskeleton organization [GO:0030036]; cell population proliferation [GO:0008283]; glomerular visceral epithelial cell migration [GO:0090521]; negative regulation of actin filament polymerization [GO:0030837]; negative regulation of cell migration [GO:0030336]; negative regulation of insulin receptor signaling pathway [GO:0046627]; negative regulation of lamellipodium morphogenesis [GO:2000393]; negative regulation of neuron projection development [GO:0010977]; negative regulation of Rho protein signal transduction [GO:0035024]; negative regulation of ruffle assembly [GO:1900028]; negative regulation of substrate adhesion-dependent cell spreading [GO:1900025]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of Wnt signaling pathway [GO:0030177]; positive regulation of wound healing [GO:0090303]; regulation of establishment of cell polarity [GO:2000114]; regulation of Rho protein signal transduction [GO:0035023],beta-catenin binding [GO:0008013]
Q86U42,PABPN1,Nucleocapsid,176.11,14,cellular response to lipopolysaccharide [GO:0071222]; MAPK cascade [GO:0000165]; mRNA processing [GO:0006397]; muscle contraction [GO:0006936]; poly(A)+ mRNA export from nucleus [GO:0016973]; positive regulation of polynucleotide adenylyltransferase activity [GO:1904247]; RNA processing [GO:0006396],RNA binding [GO:0003723]; RNA polymerase binding [GO:0070063]
P07900,HSP90AA1,Nucleocapsid,444.65,14,activation of innate immune response [GO:0002218]; axon extension [GO:0048675]; cellular response to heat [GO:0034605]; cellular response to virus [GO:0098586]; central nervous system neuron axonogenesis [GO:0021955]; chaperone-mediated autophagy [GO:0061684]; chaperone-mediated protein complex assembly [GO:0051131]; establishment of cell polarity [GO:0030010]; mitochondrial transport [GO:0006839]; positive regulation of cellular protein catabolic process [GO:1903364]; positive regulation of defense response to virus by host [GO:0002230]; positive regulation of interferon-beta production [GO:0032728]; positive regulation of nitric oxide biosynthetic process [GO:0045429]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of protein kinase B signaling [GO:0051897]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of protein polymerization [GO:0032273]; positive regulation of tau-protein kinase activity [GO:1902949]; positive regulation of telomerase activity [GO:0051973]; protein folding [GO:0006457]; protein insertion into mitochondrial outer membrane [GO:0045040]; protein refolding [GO:0042026]; protein stabilization [GO:0050821]; protein unfolding [GO:0043335]; regulation of apoptotic process [GO:0042981]; regulation of cellular protein localization [GO:1903827]; regulation of protein-containing complex assembly [GO:0043254]; regulation of protein ubiquitination [GO:0031396]; response to antibiotic [GO:0046677]; response to cold [GO:0009409]; response to heat [GO:0009408]; response to unfolded protein [GO:0006986]; telomerase holoenzyme complex assembly [GO:1905323]; telomere maintenance via telomerase [GO:0007004],ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0140603]; disordered domain specific binding [GO:0097718]; DNA polymerase binding [GO:0070182]; GTPase binding [GO:0051020]; histone deacetylase binding [GO:0042826]; identical protein binding [GO:0042802]; MHC class II protein complex binding [GO:0023026]; nitric-oxide synthase regulator activity [GO:0030235]; protein homodimerization activity [GO:0042803]; protein tyrosine kinase binding [GO:1990782]; RNA binding [GO:0003723]; scaffold protein binding [GO:0097110]; tau protein binding [GO:0048156]; TPR domain binding [GO:0030911]; ubiquitin protein ligase binding [GO:0031625]; unfolded protein binding [GO:0051082]
Q9Y5S9,RBM8A,Nucleocapsid,31.29,14,"mRNA splicing, via spliceosome [GO:0000398]; mRNA transport [GO:0051028]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of translation [GO:0006417]; RNA splicing [GO:0008380]",mRNA binding [GO:0003729]; RNA binding [GO:0003723]
P62191,PSMC1,Nucleocapsid,53.55,14,negative regulation of neuron death [GO:1901215]; protein catabolic process [GO:0030163],ATP binding [GO:0005524]; proteasome-activating activity [GO:0036402]; RNA binding [GO:0003723]; TBP-class protein binding [GO:0017025]
P27816,MAP4,Nucleocapsid,78.72,14,cell division [GO:0051301]; establishment of spindle orientation [GO:0051294]; microtubule cytoskeleton organization [GO:0000226]; microtubule sliding [GO:0051012]; mitotic spindle organization [GO:0007052]; negative regulation of non-motile cilium assembly [GO:1902856]; neuron projection development [GO:0031175],microtubule binding [GO:0008017]; RNA binding [GO:0003723]; structural molecule activity [GO:0005198]
Q96KR1,ZFR,Nucleocapsid,46.55,14,N/A,DNA binding [GO:0003677]; double-stranded RNA binding [GO:0003725]; RNA binding [GO:0003723]; single-stranded RNA binding [GO:0003727]; zinc ion binding [GO:0008270]
Q68CL5,TPGS2,Nucleocapsid,14.87,14,protein polyglutamylation [GO:0018095],N/A
Q9UBC2,EPS15L1,Nucleocapsid,14.36,14,endocytosis [GO:0006897]; endosomal transport [GO:0016197],cadherin binding [GO:0045296]; calcium ion binding [GO:0005509]
Q9BZE4,GTPBP4,Nucleocapsid,18.58,14,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]; negative regulation of cell-cell adhesion [GO:0022408]; negative regulation of cell migration [GO:0030336]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of collagen binding [GO:0033342]; negative regulation of DNA replication [GO:0008156]; negative regulation of protein ubiquitination [GO:0031397]; osteoblast differentiation [GO:0001649]; protein stabilization [GO:0050821]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]",GTPase activity [GO:0003924]; GTP binding [GO:0005525]; RNA binding [GO:0003723]
P23246,SFPQ,Nucleocapsid,109.55,13,"activation of innate immune response [GO:0002218]; alternative mRNA splicing, via spliceosome [GO:0000380]; dendritic transport of messenger ribonucleoprotein complex [GO:0098963]; double-strand break repair via homologous recombination [GO:0000724]; histone H3 deacetylation [GO:0070932]; innate immune response [GO:0045087]; mRNA processing [GO:0006397]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of circadian rhythm [GO:0042754]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of oxidative stress-induced intrinsic apoptotic signaling pathway [GO:1902177]; positive regulation of sister chromatid cohesion [GO:0045876]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of circadian rhythm [GO:0042752]; regulation of transcription, DNA-templated [GO:0006355]; rhythmic process [GO:0048511]; RNA splicing [GO:0008380]",chromatin binding [GO:0003682]; DNA binding [GO:0003677]; histone deacetylase binding [GO:0042826]; nucleic acid binding [GO:0003676]; protein homodimerization activity [GO:0042803]; RNA binding [GO:0003723]; transcription cis-regulatory region binding [GO:0000976]
Q14493,SLBP,Nucleocapsid,46.1,13,mRNA 3'-end processing by stem-loop binding and cleavage [GO:0006398]; mRNA transport [GO:0051028],histone pre-mRNA DCP binding [GO:0071208]; histone pre-mRNA stem-loop binding [GO:0071207]; identical protein binding [GO:0042802]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]
Q9C0C2,TNKS1BP1,Nucleocapsid,107.68,13,cellular response to ionizing radiation [GO:0071479]; double-strand break repair [GO:0006302]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of peptidyl-threonine phosphorylation [GO:0010800]; positive regulation of protein autophosphorylation [GO:0031954]; telomere maintenance via telomerase [GO:0007004],ankyrin repeat binding [GO:0071532]; cadherin binding [GO:0045296]; enzyme binding [GO:0019899]; protein-containing complex binding [GO:0044877]
Q9Y2W2,WBP11,Nucleocapsid,45.57,13,"mRNA cis splicing, via spliceosome [GO:0045292]; rRNA processing [GO:0006364]",RNA binding [GO:0003723]; single-stranded DNA binding [GO:0003697]; WW domain binding [GO:0050699]
P23508,MCC,Nucleocapsid,10.15,13,establishment of protein localization [GO:0045184]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of epithelial cell migration [GO:0010633]; negative regulation of epithelial cell proliferation [GO:0050680]; signal transduction [GO:0007165]; Wnt signaling pathway [GO:0016055],signaling receptor activity [GO:0038023]
Q9HC77,CENPJ,Nucleocapsid,6.16,13,astral microtubule nucleation [GO:0030954]; cell division [GO:0051301]; centriole elongation [GO:0061511]; centriole replication [GO:0007099]; cilium assembly [GO:0060271]; microtubule nucleation [GO:0007020]; microtubule polymerization [GO:0046785]; positive regulation of centriole elongation [GO:1903724]; positive regulation of establishment of protein localization [GO:1904951]; positive regulation of receptor signaling pathway via JAK-STAT [GO:0046427]; regulation of centriole replication [GO:0046599],gamma-tubulin binding [GO:0043015]; identical protein binding [GO:0042802]; protein domain specific binding [GO:0019904]; protein kinase binding [GO:0019901]; transcription coactivator activity [GO:0003713]; tubulin binding [GO:0015631]
Q9P0J7,KCMF1,Nucleocapsid,20.21,13,synaptic signaling [GO:0099536],ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]
